action - 229, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 230, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 231, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 232, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 233, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 234, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 235, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 236, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 237, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 238, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 239, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 240, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 241, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 242, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 243, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 244, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 245, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 246, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 247, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 248, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 249, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 250, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 251, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 252, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 253, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 254, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 255, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 256, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 257, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 258, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 259, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 260, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 261, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 262, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 263, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 264, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 265, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 266, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 267, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 268, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 269, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 270, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 271, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 272, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 273, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 274, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 275, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 276, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 277, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 278, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 279, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 280, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 281, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 282, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 283, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 284, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 285, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 286, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 287, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 288, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 289, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 290, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 291, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 292, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 293, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 294, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 295, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 296, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 297, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 298, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 299, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 300, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 301, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 302, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 303, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 304, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 305, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 306, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 307, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 308, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 309, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 310, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 311, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 312, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 313, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 314, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 315, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 316, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 317, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 318, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
